"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"196","Inor","INOR","Same","Iand","Inor","BU","O","BU","OU","2","2","IOR","(i,j)"
"197","InorNot","INOR_NOT","Same","Iand","InorNot","BU","O","BU","OU","2","2","IOR","(i,j)"
"198","Inot","INOT","Same","Keep","Inot","BU","O","BU","OU","1","1","UNARY+S","%cc	~a	\\not(a)\\"
"199","InOut","INOUT","Else","undef","undef","XX","YY","XX","YY","1","1","MODIFA+N","INOUT a	read/write"
"200","Inquire","INQUIRE","Inquire","undef","undef","XX","YY","XX","YY","2","2","OK+U","%f9	(unit|file,select)"
"201","Int","INT","Same","Real","undef","B","O","B","O","1","2","CAST+N+I","f9	(a,[kind])"
"202","Integral","INTEGRAL","Trans","Sign","Integral","BU","HC","BU","HC","2","3","OK","(a,dim,[dt]) axis sum"
"203","Interpol","INTERPOL","Interpol","undef","undef","BU","HC","BU","HC","2","3","OK","(a,n) or (a,xin,xout)"
"204","Intersect","INTERSECT","Intersect","undef","undef","XX","YY","XX","YY","0","254","OK","(a,...)"
"205","IntUnsigned","INT_UNSIGNED","Same","Keep","undef","BU","OU","BU","OU","1","1","CAST+N+I","%	(a) (unsigned int) zext"
"206","Inverse","INVERSE","Same","Inverse","Inverse","F","HC","F","HC","1","1","OK","(matrix)"
"207","Ior","IOR","Same","Iand","Ior","BU","O","BU","OU","2","2","IOR+S","f9	i|j ior(i,j)"
"208","IorNot","IOR_NOT","Same","Iand","IorNot","BU","O","BU","OU","2","2","IOR","(i,j)"
"209","IsIn","IS_IN","IsIn","undef","undef","T","HC","VV","VV","2","3","IN+N","%	a IS_IN b rng/lst upcase"
"210","Ieor","IEOR","Same","Iand","Ieor","BU","O","BU","OU","2","2","IXOR","(i,j)"
"211","IeorNot","IEOR_NOT","Same","Iand","IeorNot","BU","O","BU","OU","2","2","IXOR","(i,j)"
"212","Label","LABEL","Label","undef","undef","XX","YY","XX","YY","2","254","LABEL+N+U","% LABEL label: stmt"
"213","Laminate","LAMINATE","Laminate","undef","undef","XX","YY","XX","YY","2","254","OK+S","%	{{a1,a2},...{z1,z2}}"
"214","LanguageOf","LANGUAGE_OF","LanguageOf","undef","undef"," PROCEDURE","PROCEDURE","XX","YY","1","1","OK+I","mds	(procedure)"
"215","LastLoc","LASTLOC","Trans","Mask1","LastLoc","BU","O","VV","VV","1","2","OK","(mask,[dim])"
"216","Le","LE","Same","Eq","Le","XX","YY","VV","VV","2","2","LGE+N+S","%	a<=b	a.LE.b"
"217","Len","LEN","Scalar","Any","Len","XX","YY","L","L","1","1","OK","f9+	(string or other)"
"218","LenTrim","LEN_TRIM","Same","Any","LenTrim","BU","T","L","L","1","1","OK","f9	(string)"
"219","Lge","LGE","Same","Eq","Ge","T","T","VV","VV","2","2","OK","f9	(string_a,string_b)"
"220","Lgt","LGT","Same","Eq","Gt","T","T","VV","VV","2","2","OK","f9	(string_a,string_b)"
"221","Lle","LLE","Same","Eq","Le","T","T","VV","VV","2","2","OK","f9	(string_a,string_b)"
"222","Llt","LLT","Same","Eq","Lt","T","T","VV","VV","2","2","OK","f9	(string_a,string_b)"
"223","Log","LOG","Same","NoHc","Log","F","HC","F","HC","1","1","OK","f9	(z)"
"224","Log10","LOG10","Same","None","Log10","F","HC","F","HC","1","1","OK","f9	(x)"
"225","Log2","LOG2","Same","None","Log2","F","HC","F","HC","1","1","OK","vax	(x)"
"226","Logical","LOGICAL","Same","Not","Logical","BU","O","VV","VV","1","2","OK","f9	(a,[kind])"
"227","Long","LONG","Same","Keep","undef","L","L","L","L","1","1","CAST+N+I","%	(a) (signed long)"
"228","LongUnsigned","LONG_UNSIGNED","Same","Keep","undef","LU","LU","LU","LU","1","1","CAST+N+I","%	(a) (unsigned long)"
